Reference,Clause,Description,Initial Assessment Points,Findings,Status
C.4,Context of the organization (Cloud PII Processing),Cloud‑focused interpretation of Clause 4 for PII processing in public cloud.,–,,
C.4.1,Understanding the organization and its cloud context,"Document the cloud context: service/deployment models, jurisdictions/regions, multi‑tenancy and provider ecosystem. Explain how these factors affect the ISMS scope, shared responsibility and interfaces with cloud providers and sub‑processors.","1. Has the cloud context (models, regions, jurisdictions) been documented?",,
C.4.1,Understanding the organization and its cloud context,…,2. Are CSP dependencies and shared responsibilities identified?,,
C.4.1,Understanding the organization and its cloud context,…,3. How does the context inform scope and interfaces?,,
C.4.2,Understanding the needs and expectations of interested parties (cloud & privacy),"Identify cloud‑relevant interested parties: customers, regulators, CSPs, sub‑processors, and data subjects across regions. Capture obligations such as data residency, cross‑border transfer mechanisms and provider assurance artefacts (e.g., SOC/ISO/STAR).",1. Is the requirement documented and communicated to relevant cloud stakeholders?,,
C.4.2,Understanding the needs and expectations of interested parties (cloud & privacy),…,"2. What objective evidence demonstrates effective operation (e.g., dashboards, logs, approvals)?",,
C.4.2,Understanding the needs and expectations of interested parties (cloud & privacy),…,3. How is this area reviewed and improved over time?,,
C.4.3,Determining the scope of the ISMS for cloud PII processing,"Define ISMS scope to include cloud accounts/subscriptions, regions and workloads processing PII, plus shared services (identity, logging). Clarify boundaries and interfaces among customer, CSP and tools to avoid uncontrolled cloud use (shadow IT).",1. Is the requirement documented and communicated to relevant cloud stakeholders?,,
C.4.3,Determining the scope of the ISMS for cloud PII processing,…,"2. What objective evidence demonstrates effective operation (e.g., dashboards, logs, approvals)?",,
C.4.3,Determining the scope of the ISMS for cloud PII processing,…,3. How is this area reviewed and improved over time?,,
C.4.4,Information security management system (governing cloud services),"Operate the ISMS so it governs cloud services end‑to‑end: architecture patterns, IaC, change control and continuous compliance. Ensure the ISMS coordinates CSP native controls with on‑prem processes.",1. Is the requirement documented and communicated to relevant cloud stakeholders?,,
C.4.4,Information security management system (governing cloud services),…,"2. What objective evidence demonstrates effective operation (e.g., dashboards, logs, approvals)?",,
C.4.4,Information security management system (governing cloud services),…,3. How is this area reviewed and improved over time?,,
C.5,Leadership,Cloud‑focused interpretation of Clause 5 for PII processing in public cloud.,–,,
C.5.1,Leadership and commitment for cloud privacy & security,"Top management should champion secure cloud PII processing by allocating resources, resolving conflicts and setting measurable objectives. Demonstrate visible leadership across regions and providers.",1. Is the requirement documented and communicated to relevant cloud stakeholders?,,
C.5.1,Leadership and commitment for cloud privacy & security,…,"2. What objective evidence demonstrates effective operation (e.g., dashboards, logs, approvals)?",,
C.5.1,Leadership and commitment for cloud privacy & security,…,3. How is this area reviewed and improved over time?,,
C.5.2,Policy for secure and compliant cloud use,"Publish a policy framework for cloud privacy and security (identity federation, key management, data location, exit/portability). Align policies to shared responsibility models and contractual terms.",1. Is the requirement documented and communicated to relevant cloud stakeholders?,,
C.5.2,Policy for secure and compliant cloud use,…,"2. What objective evidence demonstrates effective operation (e.g., dashboards, logs, approvals)?",,
C.5.2,Policy for secure and compliant cloud use,…,3. How is this area reviewed and improved over time?,,
C.5.3,"Organizational roles, responsibilities and authorities (cloud)","Assign roles for cloud security architecture, platform operations and tenancy management with authority to act. Define approvals for regions/services, identity/keys and provider escalations.",1. Is the requirement documented and communicated to relevant cloud stakeholders?,,
C.5.3,"Organizational roles, responsibilities and authorities (cloud)",…,"2. What objective evidence demonstrates effective operation (e.g., dashboards, logs, approvals)?",,
C.5.3,"Organizational roles, responsibilities and authorities (cloud)",…,3. How is this area reviewed and improved over time?,,
C.6,Planning,Cloud‑focused interpretation of Clause 6 for PII processing in public cloud.,–,,
C.6.1.1,Actions to address risks and opportunities (cloud privacy),"Plan actions for misconfiguration and shared‑technology risks while exploiting cloud benefits (immutable infra, automation). Integrate with DevSecOps to ensure ownership and effectiveness.",1. Is the requirement documented and communicated to relevant cloud stakeholders?,,
C.6.1.1,Actions to address risks and opportunities (cloud privacy),…,"2. What objective evidence demonstrates effective operation (e.g., dashboards, logs, approvals)?",,
C.6.1.1,Actions to address risks and opportunities (cloud privacy),…,3. How is this area reviewed and improved over time?,,
C.6.1.2,Information security risk assessment (cloud services/regions),Tailor risk assessment to cloud services/regions and PII sensitivity; include provider advisories and cloud‑specific attack paths. Reassess on significant changes or incidents.,1. Is the risk method tailored to cloud services/regions and PII sensitivity?,,
C.6.1.2,Information security risk assessment (cloud services/regions),…,2. Are provider advisories included in assessments?,,
C.6.1.2,Information security risk assessment (cloud services/regions),…,3. Are reassessments triggered by significant change?,,
C.6.1.3,Information security risk treatment (cloud privacy controls),"Treat risks using control patterns (segmentation, encryption, PAM, DLP) and contractual clauses with CSPs/sub‑processors. Track exceptions and residual risk per account/workload.",1. Is the requirement documented and communicated to relevant cloud stakeholders?,,
C.6.1.3,Information security risk treatment (cloud privacy controls),…,"2. What objective evidence demonstrates effective operation (e.g., dashboards, logs, approvals)?",,
C.6.1.3,Information security risk treatment (cloud privacy controls),…,3. How is this area reviewed and improved over time?,,
