Reference,Clause,Description,Initial Assessment Points,Findings,Status
C.4,Context of the Organization,"Clause 4 requires defining context, stakeholders, scope, and the ISMS process model. Outputs must be maintained as documented information and kept current to inform risk management and control selection.",–,,
C.4.1,Understanding the organization and its context,"Define internal and external issues that affect the ISMS’s purpose, outcomes, and ability to achieve intended results. Use structured environmental scanning (e.g., PESTLE, industry/technology/legal trends) and document assumptions and constraints. Keep this context current and feed it into risk assessment, scope, and control selection.","1. Has the organization documented its cloud context (models, regions, jurisdictions, multi‑tenancy)?",,
C.4.1,Understanding the organization and its context,"Define internal and external issues that affect the ISMS’s purpose, outcomes, and ability to achieve intended results. Use structured environmental scanning (e.g., PESTLE, industry/technology/legal trends) and document assumptions and constraints. Keep this context current and feed it into risk assessment, scope, and control selection.",2. Are CSP ecosystems and critical dependencies identified?,,
C.4.1,Understanding the organization and its context,"Define internal and external issues that affect the ISMS’s purpose, outcomes, and ability to achieve intended results. Use structured environmental scanning (e.g., PESTLE, industry/technology/legal trends) and document assumptions and constraints. Keep this context current and feed it into risk assessment, scope, and control selection.",3. How does cloud context influence interfaces and shared responsibilities?,,
C.4.2,Understanding the needs and expectations of interested parties,"Identify interested parties (internal, external, regulatory) relevant to information security and determine their applicable requirements. Record specific compliance, contractual, and stakeholder obligations and monitor changes so they are reflected in controls and KPIs.","1. Have cloud‑specific interested parties and obligations (e.g., data residency) been captured?",,
C.4.2,Understanding the needs and expectations of interested parties,"Identify interested parties (internal, external, regulatory) relevant to information security and determine their applicable requirements. Record specific compliance, contractual, and stakeholder obligations and monitor changes so they are reflected in controls and KPIs.",2. Are CSP assurance artifacts (SOC/ISO/STAR) reviewed and retained?,,
C.4.2,Understanding the needs and expectations of interested parties,"Identify interested parties (internal, external, regulatory) relevant to information security and determine their applicable requirements. Record specific compliance, contractual, and stakeholder obligations and monitor changes so they are reflected in controls and KPIs.",3. How are sub‑processor disclosures and notifications tracked?,,
C.4.3,Determining the scope of the ISMS,"Establish and document the ISMS scope considering organizational context, interfaces, dependencies, and locations, processes, and information assets included. Justify any exclusions, particularly for Annex A controls, and ensure boundaries are clear for audits and assurance.","1. Does the ISMS scope explicitly include CSP accounts, regions, and cloud workloads?",,
C.4.3,Determining the scope of the ISMS,"Establish and document the ISMS scope considering organizational context, interfaces, dependencies, and locations, processes, and information assets included. Justify any exclusions, particularly for Annex A controls, and ensure boundaries are clear for audits and assurance.",2. Are interfaces/boundaries with CSPs and third‑party tools defined?,,
C.4.3,Determining the scope of the ISMS,"Establish and document the ISMS scope considering organizational context, interfaces, dependencies, and locations, processes, and information assets included. Justify any exclusions, particularly for Annex A controls, and ensure boundaries are clear for audits and assurance.",3. Are measures in place to prevent/identify shadow IT cloud use?,,
C.4.4,Information security management system,"Establish, implement, maintain, and continually improve the ISMS including processes and their interactions. Define process owners, inputs/outputs, criteria, resources, and performance measures; ensure integration with business processes.","1. Does the ISMS govern IaC, cloud change, and continuous compliance?",,
C.4.4,Information security management system,"Establish, implement, maintain, and continually improve the ISMS including processes and their interactions. Define process owners, inputs/outputs, criteria, resources, and performance measures; ensure integration with business processes.",2. Are CSP native controls coordinated with on‑prem processes?,,
C.4.4,Information security management system,"Establish, implement, maintain, and continually improve the ISMS including processes and their interactions. Define process owners, inputs/outputs, criteria, resources, and performance measures; ensure integration with business processes.",3. Is there evidence of end‑to‑end governance across cloud services?,,
C.5,Leadership,"Clause 5 focuses on management commitment, policy, and assignment of roles/authorities to drive the ISMS.",–,,
C.5.1,Leadership and commitment,"Top management demonstrates leadership and commitment by integrating ISMS requirements into business processes, ensuring resources, promoting a security culture, and removing obstacles. They assign authorities and take accountability for ISMS effectiveness.",1. What evidence shows leadership commitment to secure cloud adoption?,,
C.5.1,Leadership and commitment,"Top management demonstrates leadership and commitment by integrating ISMS requirements into business processes, ensuring resources, promoting a security culture, and removing obstacles. They assign authorities and take accountability for ISMS effectiveness.",2. Are cloud security objectives and resources approved by top management?,,
C.5.1,Leadership and commitment,"Top management demonstrates leadership and commitment by integrating ISMS requirements into business processes, ensuring resources, promoting a security culture, and removing obstacles. They assign authorities and take accountability for ISMS effectiveness.",3. Is accountability defined for cloud risk acceptance?,,
C.5.2,Information security policy,"Define, approve, and communicate an information security policy appropriate to the organization, aligned with strategic direction, including objectives, commitment to requirements and continual improvement. Make it available to interested parties as appropriate.","1. Do policies explicitly address cloud identity, keys, data location, and exit?",,
C.5.2,Information security policy,"Define, approve, and communicate an information security policy appropriate to the organization, aligned with strategic direction, including objectives, commitment to requirements and continual improvement. Make it available to interested parties as appropriate.",2. Are policies aligned to shared responsibility models?,,
C.5.2,Information security policy,"Define, approve, and communicate an information security policy appropriate to the organization, aligned with strategic direction, including objectives, commitment to requirements and continual improvement. Make it available to interested parties as appropriate.",3. How are policies communicated to developers and platform teams?,,
C.5.3,"Organizational roles, responsibilities, and authorities","Assign and communicate information security roles and responsibilities (e.g., risk ownership, control operation, incident response). Ensure authorities are defined, understood, and evidenced in org charts, job descriptions, or RACI matrices.","1. Are roles defined for tenancy/platform owners, cloud security, and FinOps?",,
C.5.3,"Organizational roles, responsibilities, and authorities","Assign and communicate information security roles and responsibilities (e.g., risk ownership, control operation, incident response). Ensure authorities are defined, understood, and evidenced in org charts, job descriptions, or RACI matrices.",2. Who approves new regions/services and key management practices?,,
C.5.3,"Organizational roles, responsibilities, and authorities","Assign and communicate information security roles and responsibilities (e.g., risk ownership, control operation, incident response). Ensure authorities are defined, understood, and evidenced in org charts, job descriptions, or RACI matrices.",3. Are provider escalation authorities documented?,,
C.6,Planning,"Clause 6 requires planning for risks/opportunities, risk assessment and treatment, and setting measurable objectives with plans.",–,,
C.6.1.1,Actions to address risks and opportunities - General,"Plan actions to address risks and opportunities that could impact the ISMS outcomes. Integrate these actions into processes, assign owners, resources, and evaluation criteria, and plan changes in a controlled manner.",1. Are actions planned for cloud misconfigurations and shared‑tech risks?,,
C.6.1.1,Actions to address risks and opportunities - General,"Plan actions to address risks and opportunities that could impact the ISMS outcomes. Integrate these actions into processes, assign owners, resources, and evaluation criteria, and plan changes in a controlled manner.","2. Is automation used to reduce risk (guardrails, policy‑as‑code)?",,
C.6.1.1,Actions to address risks and opportunities - General,"Plan actions to address risks and opportunities that could impact the ISMS outcomes. Integrate these actions into processes, assign owners, resources, and evaluation criteria, and plan changes in a controlled manner.",3. How is effectiveness of actions evaluated?,,
C.6.1.2,Information security risk assessment,"Establish and apply a risk assessment process with criteria for risk identification, analysis, evaluation, and acceptance. Maintain up‑to‑date risk registers linking assets, threats, vulnerabilities, impacts, and likelihood; retain results as records.",1. Is the risk method tailored for cloud services and regions?,,
C.6.1.2,Information security risk assessment,"Establish and apply a risk assessment process with criteria for risk identification, analysis, evaluation, and acceptance. Maintain up‑to‑date risk registers linking assets, threats, vulnerabilities, impacts, and likelihood; retain results as records.","2. Are cloud‑specific threats (e.g., role compromise) assessed?",,
C.6.1.2,Information security risk assessment,"Establish and apply a risk assessment process with criteria for risk identification, analysis, evaluation, and acceptance. Maintain up‑to‑date risk registers linking assets, threats, vulnerabilities, impacts, and likelihood; retain results as records.",3. Are provider advisories incorporated into reassessments?,,
C.6.1.3,Information security risk treatment,"Define and perform risk treatment selecting appropriate controls (e.g., Annex A), comparing options, obtaining risk owners’ approval, and producing a Statement of Applicability (SoA) justifying inclusions/exclusions and control implementation status.",1. Is there a SoA mapping cloud control patterns to risks?,,
C.6.1.3,Information security risk treatment,"Define and perform risk treatment selecting appropriate controls (e.g., Annex A), comparing options, obtaining risk owners’ approval, and producing a Statement of Applicability (SoA) justifying inclusions/exclusions and control implementation status.",2. Are contractual clauses with CSPs/sub‑processors defined and enforced?,,
C.6.1.3,Information security risk treatment,"Define and perform risk treatment selecting appropriate controls (e.g., Annex A), comparing options, obtaining risk owners’ approval, and producing a Statement of Applicability (SoA) justifying inclusions/exclusions and control implementation status.",3. How are residual risks tracked per account/workload?,,
C.6.2,Information security objectives and planning to achieve them,"Set measurable information security objectives aligned with the policy and risk treatment plan. Define what will be done, resources, responsibilities, timelines, and evaluation methods; monitor and update objectives periodically.","1. Are cloud objectives measurable (e.g., MFA coverage, drift remediation SLAs)?",,
